Acronym,"Full Name"
UPST,"University of South Carolina Upstate"
URI,"University of Rhode Island"
USA,"University of South Alabama"
USC,"University of Southern California"
USD,"University of San Diego"
USF,"University of South Florida"
USI,"University of Southern Indiana"
USM,"University of Southern Mississippi"
UTA,"University of Texas at Arlington"
UTAH,"University of Utah"
UTM,"University of Tennessee at Martin"
UTSA,"University of Texas at San Antonio"
UTU,"Utah Tech University"
UVA,"University of Virginia"
UVU,"Utah Valley University"
VAL,"Valparaiso University"
VAN,"Vanderbilt University"
VCU,"Virginia Commonwealth University"
VILL,"Villanova University"
VMI,"Virginia Military Institute"
VT,"Virginia Tech"
W&M,"College of William & Mary"
WAG,"Wagner College"
WAKE,"Wake Forest University"
WASH,"University of Washington"
WCU,"Western Carolina University"
WES,"University of West Georgia"
WICH,"Wichita State University"
WIN,"Winthrop University"
WIU,"Western Illinois University"
WKU,"Western Kentucky University"
WMU,"Western Michigan University"
WOF,"Wofford College"
WRST,"Wright State University"
WSU,"Washington State University"
WVU,"West Virginia University"
XAV,"Xavier University"
YALE,"Yale University"
YSU,"Youngstown State University"
